t_s,cell,phase,throttle,elevator_trim,axis,amplitude,cmd_aileron,cmd_elevator,cmd_throttle,elev_trimmed,rate_p,rate_q,rate_r,phi,theta,psi,vel_x,vel_y,vel_z,v_rel_airmass,pos_x,pos_y,pos_z,flight_cl
0.340000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.008293,0.450000,-0.008293,-0.136877,-0.360601,0.697976,-0.056667,-0.088767,3.291395,-40.692586,0.448536,4.511617,31.146815,-14.254540,0.076377,-899.206974,0.416316
0.345000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.008522,0.450000,-0.008522,-0.132245,-0.358742,0.699601,-0.057663,-0.090363,3.295000,-40.701322,0.453376,4.573659,31.163151,-14.459387,0.078632,-899.184260,0.417406
0.350000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.008754,0.450000,-0.008754,-0.127912,-0.357780,0.700863,-0.058642,-0.091947,3.298614,-40.711070,0.458106,4.634252,31.148910,-14.664281,0.080911,-899.161241,0.421588
0.355000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.008988,0.450000,-0.008988,-0.123196,-0.355793,0.701860,-0.059605,-0.093521,3.302236,-40.721533,0.462624,4.695903,31.129100,-14.869225,0.083212,-899.137915,0.420724
0.360000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.009226,0.450000,-0.009226,-0.118568,-0.355230,0.702396,-0.060551,-0.095085,3.305863,-40.733148,0.466973,4.755832,31.123518,-15.074226,0.085536,-899.114286,0.425765
0.365000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.009467,0.450000,-0.009467,-0.113959,-0.351193,0.702588,-0.061480,-0.096633,3.309494,-40.744901,0.471016,4.819254,31.148704,-15.279285,0.087881,-899.090348,0.417817
0.370000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.009711,0.450000,-0.009711,-0.109449,-0.348819,0.702488,-0.062392,-0.098163,3.313125,-40.757508,0.474968,4.881184,31.176973,-15.484405,0.090246,-899.066097,0.418765
0.375000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.009958,0.450000,-0.009958,-0.105369,-0.346919,0.701997,-0.063287,-0.099678,3.316756,-40.770955,0.478786,4.941912,31.203971,-15.689591,0.092630,-899.041539,0.422048
0.380000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.010208,0.450000,-0.010208,-0.100712,-0.345284,0.701198,-0.064166,-0.101182,3.320386,-40.785131,0.482449,5.001852,31.254538,-15.894846,0.095033,-899.016680,0.425014
0.385000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.010462,0.450000,-0.010462,-0.095583,-0.344044,0.700211,-0.065026,-0.102675,3.324012,-40.799956,0.486031,5.060726,31.234683,-16.100175,0.097454,-898.991523,0.427982
0.390000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.010717,0.450000,-0.010717,-0.090017,-0.343935,0.698937,-0.065864,-0.104163,3.327634,-40.815862,0.489430,5.118374,31.268652,-16.305581,0.099893,-898.966076,0.433604
0.395000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.010976,0.450000,-0.010976,-0.084564,-0.343439,0.697290,-0.066679,-0.105646,3.331251,-40.832354,0.492682,5.175240,31.282758,-16.511068,0.102348,-898.940342,0.436685
0.400000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.011238,0.450000,-0.011238,-0.078977,-0.341130,0.695380,-0.067471,-0.107120,3.334860,-40.849119,0.495692,5.233913,31.294386,-16.716639,0.104819,-898.914319,0.432835
