t_ms,msp,motor,servo0,servo1,gyro_p,gyro_q,gyro_r,acc_x,acc_y,acc_z,qw,qx,qy,qz,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,tgtpos_n,tgtpos_e,tgtpos_d,rcData0,rcData1,rcData2,rcData3
168373.1460,2.0000,1000.0000,1656.0000,2000.0000,356.0000,49.0000,93.0000,-504.0000,-743.0000,2402.0000,0.3552,-0.3504,0.3159,0.8070,142.5200,-75.0700,-107.2500,-21.4400,-1.9600,12.0900,0.0000,0.0000,-0.0000,1011.0000,1167.0000,1500.0000,1068.0000
168389.9420,2.0000,1000.0000,1656.0000,2000.0000,170.0000,69.0000,128.0000,-854.0000,-683.0000,1062.0000,0.3510,-0.3391,0.3551,0.7973,142.0100,-75.1100,-107.2200,-21.7700,-2.1600,12.1000,0.0000,0.0000,-0.0000,1014.0000,1170.0000,1500.0000,1042.0000
168406.7350,2.0000,1000.0000,1656.0000,2000.0000,-8.0000,61.0000,153.0000,-1091.0000,-141.0000,-585.0000,0.3335,-0.3358,0.3739,0.7976,141.5400,-75.1500,-107.1400,-21.9300,-2.2300,12.2400,0.0000,0.0000,-0.0000,1014.0000,1170.0000,1500.0000,1042.0000
168423.8330,2.0000,1000.0000,1656.0000,2000.0000,-131.0000,35.0000,168.0000,-1370.0000,382.0000,-2049.0000,0.3074,-0.3361,0.3754,0.8072,141.0100,-75.1900,-107.0100,-21.9500,-2.1800,12.4100,0.0000,0.0000,-0.0000,1014.0000,1170.0000,1500.0000,1042.0000
168440.8260,2.0000,1000.0000,1656.0000,2000.0000,-217.0000,9.0000,176.0000,-1495.0000,675.0000,-2258.0000,0.2760,-0.3370,0.3632,0.8236,140.5000,-75.2400,-106.8500,-21.9000,-2.0100,12.5900,0.0000,0.0000,-0.0000,1014.0000,1170.0000,1500.0000,1042.0000
168457.6890,2.0000,1000.0000,1656.0000,2000.0000,-265.0000,-11.0000,170.0000,-1594.0000,911.0000,-1174.0000,0.2426,-0.3372,0.3421,0.8429,140.5000,-75.2400,-106.8500,-21.9000,-2.0100,12.5900,0.0000,0.0000,-0.0000,1014.0000,1170.0000,1500.0000,1042.0000
168474.4160,2.0000,1000.0000,1656.0000,2000.0000,-306.0000,-32.0000,147.0000,-1625.0000,1583.0000,494.0000,0.2099,-0.3360,0.3135,0.8630,140.0100,-75.2800,-106.6800,-21.8400,-1.8700,12.7200,0.0000,0.0000,-0.0000,1014.0000,1170.0000,1500.0000,1042.0000
168491.1470,2.0000,1000.0000,1656.0000,2000.0000,-345.0000,-51.0000,112.0000,-1606.0000,2006.0000,2778.0000,0.1797,-0.3341,0.2771,0.8828,139.5400,-75.3200,-106.5000,-21.8500,-1.8200,12.7300,0.0000,0.0000,-0.0000,1014.0000,1170.0000,1500.0000,1042.0000
168508.0790,2.0000,1836.0000,1000.0000,1352.0000,-373.0000,-54.0000,81.0000,-1482.0000,1764.0000,5214.0000,0.1517,-0.3321,0.2329,0.9014,139.0800,-75.3600,-106.3100,-21.9800,-1.8700,12.5700,0.0000,0.0000,-0.0000,1996.0000,1154.0000,1500.0000,1846.0000
168524.9260,2.0000,1836.0000,1000.0000,1351.0000,-382.0000,-42.0000,40.0000,-1318.0000,1763.0000,7154.0000,0.1266,-0.3315,0.1841,0.9166,138.5800,-75.4000,-106.1300,-22.2200,-2.0500,12.2600,0.0000,0.0000,-0.0000,1996.0000,1154.0000,1500.0000,1846.0000
168541.5310,2.0000,1836.0000,1000.0000,1351.0000,-345.0000,-33.0000,-3.0000,-888.0000,1485.0000,8027.0000,0.1077,-0.3323,0.1353,0.9272,138.0900,-75.4500,-105.9500,-22.5600,-2.2300,11.8100,0.0000,0.0000,-0.0000,1996.0000,1154.0000,1500.0000,1846.0000
168558.2650,2.0000,1836.0000,1000.0000,1351.0000,-260.0000,-29.0000,-42.0000,-264.0000,956.0000,8278.0000,0.0968,-0.3331,0.0924,0.9333,138.0900,-75.4500,-105.9500,-22.5600,-2.2300,11.8100,0.0000,0.0000,-0.0000,1996.0000,1154.0000,1500.0000,1846.0000
168575.0020,2.0000,1836.0000,1000.0000,1351.0000,-147.0000,-32.0000,-84.0000,143.0000,858.0000,8295.0000,0.0967,-0.3323,0.0618,0.9362,137.5900,-75.5000,-105.7800,-22.9600,-2.3800,11.3600,0.0000,0.0000,-0.0000,1996.0000,1154.0000,1500.0000,1846.0000
168591.7970,2.0000,1453.0000,1000.0000,1501.0000,-16.0000,-38.0000,-123.0000,49.0000,436.0000,8411.0000,0.1078,-0.3294,0.0451,0.9369,137.1000,-75.5600,-105.6100,-23.3600,-2.4900,10.9500,0.0000,0.0000,-0.0000,1947.0000,1052.0000,1500.0000,1483.0000
168608.6550,2.0000,1453.0000,1000.0000,1502.0000,103.0000,-36.0000,-156.0000,-82.0000,287.0000,8087.0000,0.1302,-0.3244,0.0447,0.9358,136.6200,-75.6100,-105.4500,-23.7100,-2.6100,10.5300,0.0000,0.0000,-0.0000,1947.0000,1052.0000,1500.0000,1483.0000
168625.5680,2.0000,1453.0000,1000.0000,1502.0000,192.0000,-39.0000,-184.0000,-417.0000,290.0000,6696.0000,0.1609,-0.3175,0.0565,0.9328,136.1000,-75.6700,-105.2900,-23.9900,-2.7400,10.1600,0.0000,0.0000,-0.0000,1947.0000,1052.0000,1500.0000,1483.0000
168642.1530,2.0000,1453.0000,1000.0000,1502.0000,233.0000,-57.0000,-199.0000,-636.0000,86.0000,5320.0000,0.1968,-0.3075,0.0757,0.9279,136.1000,-75.6700,-105.2900,-23.9900,-2.7400,10.1600,0.0000,0.0000,-0.0000,1947.0000,1052.0000,1500.0000,1483.0000
168658.8620,2.0000,1453.0000,1000.0000,1502.0000,242.0000,-82.0000,-202.0000,-638.0000,-366.0000,4935.0000,0.2347,-0.2930,0.0964,0.9218,135.5800,-75.7400,-105.1400,-24.0900,-2.8700,9.8900,0.0000,0.0000,-0.0000,1947.0000,1052.0000,1500.0000,1483.0000
